Point,Corner,Iinput,mc_iteration,temperature,Pass/Fail,Z2
201,mc_40,1.64e-6,1,-40,,59.01e-9
202,mc150,1.64e-6,2,150,,54.69e-9
202,mc_40,1.64e-6,2,-40,,50.62e-9
203,mc150,1.64e-6,3,150,,54.71e-9
203,mc_40,1.64e-6,3,-40,,49.99e-9
204,mc150,1.64e-6,4,150,,55.62e-9
204,mc_40,1.64e-6,4,-40,,51.77e-9
205,mc150,1.64e-6,5,150,,55.71e-9
205,mc_40,1.64e-6,5,-40,,51.44e-9
206,mc150,1.64e-6,6,150,,48.62e-9
206,mc_40,1.64e-6,6,-40,,46.09e-9
207,mc150,1.64e-6,7,150,,63.2e-9
207,mc_40,1.64e-6,7,-40,,58.07e-9
208,mc150,1.64e-6,8,150,,56.24e-9
208,mc_40,1.64e-6,8,-40,,52.43e-9
209,mc150,1.64e-6,9,150,,56.56e-9
209,mc_40,1.64e-6,9,-40,,52.16e-9
210,mc150,1.64e-6,10,150,,61.74e-9
210,mc_40,1.64e-6,10,-40,,57.01e-9
211,mc150,1.64e-6,11,150,,46.57e-9
211,mc_40,1.64e-6,11,-40,,42.42e-9
212,mc150,1.64e-6,12,150,,50.38e-9
212,mc_40,1.64e-6,12,-40,,47.03e-9
213,mc150,1.64e-6,13,150,,63.71e-9
213,mc_40,1.64e-6,13,-40,,60.87e-9
214,mc150,1.64e-6,14,150,,55.57e-9
214,mc_40,1.64e-6,14,-40,,51.37e-9
215,mc150,1.64e-6,15,150,,54.84e-9
215,mc_40,1.64e-6,15,-40,,50.62e-9
216,mc150,1.64e-6,16,150,,60.16e-9
216,mc_40,1.64e-6,16,-40,,57.01e-9
217,mc150,1.64e-6,17,150,,56.62e-9
217,mc_40,1.64e-6,17,-40,,52.13e-9
218,mc150,1.64e-6,18,150,,44.79e-9
218,mc_40,1.64e-6,18,-40,,41.63e-9
219,mc150,1.64e-6,19,150,,57.75e-9
219,mc_40,1.64e-6,19,-40,,53.88e-9
220,mc150,1.64e-6,20,150,,55.27e-9
220,mc_40,1.64e-6,20,-40,,49.45e-9
221,mc150,1.64e-6,21,150,,58.28e-9
221,mc_40,1.64e-6,21,-40,,54.26e-9
222,mc150,1.64e-6,22,150,,41.41e-9
222,mc_40,1.64e-6,22,-40,,39.36e-9
223,mc150,1.64e-6,23,150,,56.14e-9
223,mc_40,1.64e-6,23,-40,,51.86e-9
224,mc150,1.64e-6,24,150,,62.39e-9
224,mc_40,1.64e-6,24,-40,,57.75e-9
225,mc150,1.64e-6,25,150,,59.62e-9
225,mc_40,1.64e-6,25,-40,,55.4e-9
226,mc150,1.64e-6,26,150,,46.77e-9
226,mc_40,1.64e-6,26,-40,,44.07e-9
227,mc150,1.64e-6,27,150,,57.76e-9
227,mc_40,1.64e-6,27,-40,,52.96e-9
228,mc150,1.64e-6,28,150,,62.54e-9
228,mc_40,1.64e-6,28,-40,,59.03e-9
229,mc150,1.64e-6,29,150,,58.2e-9
229,mc_40,1.64e-6,29,-40,,53.35e-9
230,mc150,1.64e-6,30,150,,46.9e-9
230,mc_40,1.64e-6,30,-40,,43.25e-9
231,mc150,1.64e-6,31,150,,58.68e-9
231,mc_40,1.64e-6,31,-40,,54.73e-9
232,mc150,1.64e-6,32,150,,50.87e-9
232,mc_40,1.64e-6,32,-40,,46.82e-9
233,mc150,1.64e-6,33,150,,64.47e-9
233,mc_40,1.64e-6,33,-40,,60.25e-9
234,mc150,1.64e-6,34,150,,62.72e-9
234,mc_40,1.64e-6,34,-40,,59.1e-9
235,mc150,1.64e-6,35,150,,51.2e-9
235,mc_40,1.64e-6,35,-40,,47.22e-9
236,mc150,1.64e-6,36,150,,50.1e-9
236,mc_40,1.64e-6,36,-40,,45.73e-9
237,mc150,1.64e-6,37,150,,53.09e-9
237,mc_40,1.64e-6,37,-40,,48.34e-9
238,mc150,1.64e-6,38,150,,53.18e-9
238,mc_40,1.64e-6,38,-40,,48.84e-9
239,mc150,1.64e-6,39,150,,55.69e-9
239,mc_40,1.64e-6,39,-40,,52.54e-9
240,mc150,1.64e-6,40,150,,52.22e-9
240,mc_40,1.64e-6,40,-40,,47.71e-9
241,mc150,1.64e-6,41,150,,56.61e-9
241,mc_40,1.64e-6,41,-40,,53.52e-9
242,mc150,1.64e-6,42,150,,53.18e-9
242,mc_40,1.64e-6,42,-40,,48.94e-9
243,mc150,1.64e-6,43,150,,54.75e-9
243,mc_40,1.64e-6,43,-40,,51.91e-9
244,mc150,1.64e-6,44,150,,51.24e-9
244,mc_40,1.64e-6,44,-40,,47.15e-9
245,mc150,1.64e-6,45,150,,63.06e-9
245,mc_40,1.64e-6,45,-40,,59.04e-9
246,mc150,1.64e-6,46,150,,64.65e-9
246,mc_40,1.64e-6,46,-40,,60.78e-9
247,mc150,1.64e-6,47,150,,50.56e-9
247,mc_40,1.64e-6,47,-40,,46.84e-9
248,mc150,1.64e-6,48,150,,59.9e-9
248,mc_40,1.64e-6,48,-40,,56.27e-9
249,mc150,1.64e-6,49,150,,47.07e-9
249,mc_40,1.64e-6,49,-40,,44.04e-9
250,mc150,1.64e-6,50,150,,54.42e-9
250,mc_40,1.64e-6,50,-40,,50.49e-9
251,mc150,2.04e-6,1,150,,74.11e-9
251,mc_40,2.04e-6,1,-40,,70.5e-9
252,mc150,2.04e-6,2,150,,65.67e-9
252,mc_40,2.04e-6,2,-40,,61.07e-9
253,mc150,2.04e-6,3,150,,65.61e-9
253,mc_40,2.04e-6,3,-40,,60.11e-9
254,mc150,2.04e-6,4,150,,66.74e-9
254,mc_40,2.04e-6,4,-40,,62.43e-9
255,mc150,2.04e-6,5,150,,66.75e-9
255,mc_40,2.04e-6,5,-40,,61.84e-9
256,mc150,2.04e-6,6,150,,59.09e-9
256,mc_40,2.04e-6,6,-40,,56.14e-9
257,mc150,2.04e-6,7,150,,75.2e-9
257,mc_40,2.04e-6,7,-40,,69.54e-9
258,mc150,2.04e-6,8,150,,67.5e-9
258,mc_40,2.04e-6,8,-40,,63.2e-9
259,mc150,2.04e-6,9,150,,67.72e-9
259,mc_40,2.04e-6,9,-40,,62.71e-9
260,mc150,2.04e-6,10,150,,73.38e-9
260,mc_40,2.04e-6,10,-40,,68.17e-9
261,mc150,2.04e-6,11,150,,56.73e-9
261,mc_40,2.04e-6,11,-40,,51.73e-9
262,mc150,2.04e-6,12,150,,61e-9
262,mc_40,2.04e-6,12,-40,,57.11e-9
263,mc150,2.04e-6,13,150,,75.68e-9
263,mc_40,2.04e-6,13,-40,,72.6e-9
264,mc150,2.04e-6,14,150,,66.68e-9
264,mc_40,2.04e-6,14,-40,,61.95e-9
265,mc150,2.04e-6,15,150,,65.77e-9
265,mc_40,2.04e-6,15,-40,,60.86e-9
266,mc150,2.04e-6,16,150,,71.78e-9
266,mc_40,2.04e-6,16,-40,,68.29e-9
267,mc150,2.04e-6,17,150,,67.75e-9
267,mc_40,2.04e-6,17,-40,,62.65e-9
268,mc150,2.04e-6,18,150,,54.86e-9
268,mc_40,2.04e-6,18,-40,,51.04e-9
269,mc150,2.04e-6,19,150,,69.05e-9
269,mc_40,2.04e-6,19,-40,,64.7e-9
270,mc150,2.04e-6,20,150,,66.26e-9
270,mc_40,2.04e-6,20,-40,,59.62e-9
271,mc150,2.04e-6,21,150,,69.71e-9
271,mc_40,2.04e-6,21,-40,,65.2e-9
272,mc150,2.04e-6,22,150,,50.99e-9
272,mc_40,2.04e-6,22,-40,,48.34e-9
273,mc150,2.04e-6,23,150,,67.23e-9
273,mc_40,2.04e-6,23,-40,,62.41e-9
274,mc150,2.04e-6,24,150,,74.04e-9
274,mc_40,2.04e-6,24,-40,,68.91e-9
275,mc150,2.04e-6,25,150,,71.14e-9
275,mc_40,2.04e-6,25,-40,,66.49e-9
276,mc150,2.04e-6,26,150,,56.93e-9
276,mc_40,2.04e-6,26,-40,,53.72e-9
277,mc150,2.04e-6,27,150,,69.03e-9
277,mc_40,2.04e-6,27,-40,,63.69e-9
278,mc150,2.04e-6,28,150,,74.51e-9
278,mc_40,2.04e-6,28,-40,,70.6e-9
