Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,/Inv_Out,Delay
157,C1,604e-3,57,150,,,824.4e-12
158,C0,604e-3,58,-40,,,706.2e-12
158,C1,604e-3,58,150,,,704.6e-12
159,C0,604e-3,59,-40,,,731.8e-12
159,C1,604e-3,59,150,,,770.5e-12
160,C0,604e-3,60,-40,,,680.8e-12
160,C1,604e-3,60,150,,,756.3e-12
161,C0,604e-3,61,-40,,,743.4e-12
161,C1,604e-3,61,150,,,783.3e-12
162,C0,604e-3,62,-40,,,724.4e-12
162,C1,604e-3,62,150,,,764e-12
163,C0,604e-3,63,-40,,,eval err
163,C1,604e-3,63,150,,,eval err
164,C0,604e-3,64,-40,,,878e-12
164,C1,604e-3,64,150,,,946.6e-12
165,C0,604e-3,65,-40,,,687.4e-12
165,C1,604e-3,65,150,,,716.9e-12
166,C0,604e-3,66,-40,,,704.8e-12
166,C1,604e-3,66,150,,,761.5e-12
167,C0,604e-3,67,-40,,,688.4e-12
167,C1,604e-3,67,150,,,692.3e-12
168,C0,604e-3,68,-40,,,733.1e-12
168,C1,604e-3,68,150,,,799.9e-12
169,C0,604e-3,69,-40,,,732.7e-12
169,C1,604e-3,69,150,,,750.5e-12
170,C0,604e-3,70,-40,,,515.6e-12
170,C1,604e-3,70,150,,,eval err
171,C0,604e-3,71,-40,,,746.4e-12
171,C1,604e-3,71,150,,,778.9e-12
172,C0,604e-3,72,-40,,,745.6e-12
172,C1,604e-3,72,150,,,798.6e-12
173,C0,604e-3,73,-40,,,716.9e-12
173,C1,604e-3,73,150,,,729.6e-12
174,C0,604e-3,74,-40,,,eval err
174,C1,604e-3,74,150,,,eval err
175,C0,604e-3,75,-40,,,744.4e-12
175,C1,604e-3,75,150,,,772.3e-12
176,C0,604e-3,76,-40,,,873.8e-12
176,C1,604e-3,76,150,,,933e-12
177,C0,604e-3,77,-40,,,699.4e-12
177,C1,604e-3,77,150,,,719.7e-12
178,C0,604e-3,78,-40,,,692.2e-12
178,C1,604e-3,78,150,,,743e-12
179,C0,604e-3,79,-40,,,674.6e-12
179,C1,604e-3,79,150,,,671.5e-12
180,C0,604e-3,80,-40,,,688.9e-12
180,C1,604e-3,80,150,,,681.3e-12
181,C0,604e-3,81,-40,,,488.3e-12
181,C1,604e-3,81,150,,,332.9e-12
182,C0,604e-3,82,-40,,,759.8e-12
182,C1,604e-3,82,150,,,790.9e-12
183,C0,604e-3,83,-40,,,722.8e-12
183,C1,604e-3,83,150,,,800.4e-12
184,C0,604e-3,84,-40,,,609.7e-12
184,C1,604e-3,84,150,,,590.8e-12
185,C0,604e-3,85,-40,,,795.5e-12
185,C1,604e-3,85,150,,,834.2e-12
186,C0,604e-3,86,-40,,,725.8e-12
186,C1,604e-3,86,150,,,743.8e-12
187,C0,604e-3,87,-40,,,697.5e-12
187,C1,604e-3,87,150,,,720.6e-12
188,C0,604e-3,88,-40,,,542.7e-12
188,C1,604e-3,88,150,,,461.8e-12
189,C0,604e-3,89,-40,,,780.6e-12
189,C1,604e-3,89,150,,,815.4e-12
190,C0,604e-3,90,-40,,,698.4e-12
190,C1,604e-3,90,150,,,711.3e-12
191,C0,604e-3,91,-40,,,626.9e-12
191,C1,604e-3,91,150,,,646.9e-12
192,C0,604e-3,92,-40,,,651.5e-12
192,C1,604e-3,92,150,,,630.1e-12
193,C0,604e-3,93,-40,,,819e-12
193,C1,604e-3,93,150,,,895.6e-12
194,C0,604e-3,94,-40,,,721.8e-12
194,C1,604e-3,94,150,,,742.7e-12
195,C0,604e-3,95,-40,,,732.5e-12
195,C1,604e-3,95,150,,,723.7e-12
196,C0,604e-3,96,-40,,,675.2e-12
196,C1,604e-3,96,150,,,685.4e-12
197,C0,604e-3,97,-40,,,689.1e-12
197,C1,604e-3,97,150,,,682.9e-12
198,C0,604e-3,98,-40,,,747.5e-12
198,C1,604e-3,98,150,,,805.1e-12
