Point,Corner,Vin,mc_iteration,temperature,Pass/Fail,Delay
171,C1,615e-3,31,150,,1.92e-9
172,C0,615e-3,32,-40,,1.872e-9
172,C1,615e-3,32,150,,2.011e-9
173,C0,615e-3,33,-40,,1.821e-9
173,C1,615e-3,33,150,,1.932e-9
174,C0,615e-3,34,-40,,1.832e-9
174,C1,615e-3,34,150,,1.931e-9
175,C0,615e-3,35,-40,,1.775e-9
175,C1,615e-3,35,150,,1.901e-9
176,C0,615e-3,36,-40,,1.851e-9
176,C1,615e-3,36,150,,2.003e-9
177,C0,615e-3,37,-40,,1.782e-9
177,C1,615e-3,37,150,,1.901e-9
178,C0,615e-3,38,-40,,1.814e-9
178,C1,615e-3,38,150,,1.944e-9
179,C0,615e-3,39,-40,,1.755e-9
179,C1,615e-3,39,150,,1.872e-9
180,C0,615e-3,40,-40,,1.797e-9
180,C1,615e-3,40,150,,1.937e-9
181,C0,615e-3,41,-40,,1.813e-9
181,C1,615e-3,41,150,,1.944e-9
182,C0,615e-3,42,-40,,1.757e-9
182,C1,615e-3,42,150,,1.883e-9
183,C0,615e-3,43,-40,,1.787e-9
183,C1,615e-3,43,150,,1.902e-9
184,C0,615e-3,44,-40,,1.796e-9
184,C1,615e-3,44,150,,1.93e-9
185,C0,615e-3,45,-40,,1.86e-9
185,C1,615e-3,45,150,,1.97e-9
186,C0,615e-3,46,-40,,1.786e-9
186,C1,615e-3,46,150,,1.879e-9
187,C0,615e-3,47,-40,,1.808e-9
187,C1,615e-3,47,150,,1.931e-9
188,C0,615e-3,48,-40,,1.812e-9
188,C1,615e-3,48,150,,1.935e-9
189,C0,615e-3,49,-40,,1.769e-9
189,C1,615e-3,49,150,,1.918e-9
190,C0,615e-3,50,-40,,1.837e-9
190,C1,615e-3,50,150,,1.967e-9
191,C0,615e-3,51,-40,,1.811e-9
191,C1,615e-3,51,150,,1.909e-9
192,C0,615e-3,52,-40,,1.824e-9
192,C1,615e-3,52,150,,1.95e-9
193,C0,615e-3,53,-40,,1.777e-9
193,C1,615e-3,53,150,,1.863e-9
194,C0,615e-3,54,-40,,1.747e-9
194,C1,615e-3,54,150,,1.854e-9
195,C0,615e-3,55,-40,,1.801e-9
195,C1,615e-3,55,150,,1.941e-9
196,C0,615e-3,56,-40,,1.777e-9
196,C1,615e-3,56,150,,1.903e-9
197,C0,615e-3,57,-40,,1.817e-9
197,C1,615e-3,57,150,,1.969e-9
198,C0,615e-3,58,-40,,1.812e-9
198,C1,615e-3,58,150,,1.913e-9
199,C0,615e-3,59,-40,,1.85e-9
199,C1,615e-3,59,150,,1.985e-9
200,C0,615e-3,60,-40,,1.759e-9
200,C1,615e-3,60,150,,1.88e-9
201,C0,615e-3,61,-40,,1.806e-9
201,C1,615e-3,61,150,,1.947e-9
202,C0,615e-3,62,-40,,1.789e-9
202,C1,615e-3,62,150,,1.917e-9
203,C0,615e-3,63,-40,,1.8e-9
203,C1,615e-3,63,150,,1.903e-9
204,C0,615e-3,64,-40,,1.792e-9
204,C1,615e-3,64,150,,1.941e-9
205,C0,615e-3,65,-40,,1.818e-9
205,C1,615e-3,65,150,,1.944e-9
206,C0,615e-3,66,-40,,1.79e-9
206,C1,615e-3,66,150,,1.934e-9
207,C0,615e-3,67,-40,,1.869e-9
207,C1,615e-3,67,150,,1.976e-9
208,C0,615e-3,68,-40,,1.763e-9
208,C1,615e-3,68,150,,1.914e-9
209,C0,615e-3,69,-40,,1.817e-9
209,C1,615e-3,69,150,,1.929e-9
210,C0,615e-3,70,-40,,1.775e-9
210,C1,615e-3,70,150,,1.878e-9
211,C0,880e-3,1,-40,,eval err
211,C1,880e-3,1,150,,eval err
212,C0,880e-3,2,-40,,9.321e-9
212,C1,880e-3,2,150,,9.319e-9
213,C0,880e-3,3,-40,,10.1e-9
213,C1,880e-3,3,150,,10.13e-9
214,C0,880e-3,4,-40,,9.987e-9
214,C1,880e-3,4,150,,9.963e-9
215,C0,880e-3,5,-40,,eval err
215,C1,880e-3,5,150,,eval err
216,C0,880e-3,6,-40,,9.651e-9
216,C1,880e-3,6,150,,9.647e-9
217,C0,880e-3,7,-40,,10.27e-9
217,C1,880e-3,7,150,,10.22e-9
218,C0,880e-3,8,-40,,eval err
218,C1,880e-3,8,150,,eval err
219,C0,880e-3,9,-40,,10.04e-9
219,C1,880e-3,9,150,,10.06e-9
220,C0,880e-3,10,-40,,eval err
220,C1,880e-3,10,150,,10.34e-9
221,C0,880e-3,11,-40,,9.721e-9
221,C1,880e-3,11,150,,9.764e-9
222,C0,880e-3,12,-40,,eval err
222,C1,880e-3,12,150,,eval err
223,C0,880e-3,13,-40,,9.938e-9
223,C1,880e-3,13,150,,9.909e-9
224,C0,880e-3,14,-40,,10.18e-9
224,C1,880e-3,14,150,,10.16e-9
225,C0,880e-3,15,-40,,9.522e-9
225,C1,880e-3,15,150,,9.552e-9
226,C0,880e-3,16,-40,,9.728e-9
226,C1,880e-3,16,150,,9.702e-9
227,C0,880e-3,17,-40,,10.29e-9
227,C1,880e-3,17,150,,10.29e-9
228,C0,880e-3,18,-40,,9.988e-9
228,C1,880e-3,18,150,,10.01e-9
229,C0,880e-3,19,-40,,eval err
229,C1,880e-3,19,150,,eval err
230,C0,880e-3,20,-40,,9.412e-9
230,C1,880e-3,20,150,,9.439e-9
231,C0,880e-3,21,-40,,10.16e-9
231,C1,880e-3,21,150,,10.13e-9
232,C0,880e-3,22,-40,,9.855e-9
232,C1,880e-3,22,150,,9.933e-9
233,C0,880e-3,23,-40,,eval err
233,C1,880e-3,23,150,,eval err
234,C0,880e-3,24,-40,,10.22e-9
234,C1,880e-3,24,150,,10.23e-9
235,C0,880e-3,25,-40,,9.611e-9
235,C1,880e-3,25,150,,9.592e-9
236,C0,880e-3,26,-40,,eval err
236,C1,880e-3,26,150,,eval err
237,C0,880e-3,27,-40,,9.941e-9
237,C1,880e-3,27,150,,9.934e-9
238,C0,880e-3,28,-40,,eval err
238,C1,880e-3,28,150,,10.38e-9
239,C0,880e-3,29,-40,,9.797e-9
239,C1,880e-3,29,150,,9.798e-9
240,C0,880e-3,30,-40,,9e-9
240,C1,880e-3,30,150,,9.027e-9
241,C0,880e-3,31,-40,,10.1e-9
241,C1,880e-3,31,150,,10.07e-9
242,C0,880e-3,32,-40,,eval err
242,C1,880e-3,32,150,,eval err
243,C0,880e-3,33,-40,,10.09e-9
243,C1,880e-3,33,150,,10.08e-9
244,C0,880e-3,34,-40,,eval err
244,C1,880e-3,34,150,,10.36e-9
245,C0,880e-3,35,-40,,9.763e-9
245,C1,880e-3,35,150,,9.764e-9
246,C0,880e-3,36,-40,,eval err
246,C1,880e-3,36,150,,eval err
247,C0,880e-3,37,-40,,9.906e-9
247,C1,880e-3,37,150,,9.902e-9
248,C0,880e-3,38,-40,,10.19e-9
248,C1,880e-3,38,150,,10.19e-9
249,C0,880e-3,39,-40,,9.576e-9
249,C1,880e-3,39,150,,9.551e-9
250,C0,880e-3,40,-40,,9.839e-9
250,C1,880e-3,40,150,,9.873e-9
251,C0,880e-3,41,-40,,eval err
251,C1,880e-3,41,150,,eval err
252,C0,880e-3,42,-40,,9.38e-9
252,C1,880e-3,42,150,,9.394e-9
253,C0,880e-3,43,-40,,10.14e-9
253,C1,880e-3,43,150,,10.1e-9
254,C0,880e-3,44,-40,,9.981e-9
254,C1,880e-3,44,150,,9.994e-9
255,C0,880e-3,45,-40,,eval err
255,C1,880e-3,45,150,,eval err
256,C0,880e-3,46,-40,,9.722e-9
256,C1,880e-3,46,150,,9.683e-9
257,C0,880e-3,47,-40,,10.26e-9
257,C1,880e-3,47,150,,10.25e-9
258,C0,880e-3,48,-40,,10.24e-9
258,C1,880e-3,48,150,,10.23e-9
259,C0,880e-3,49,-40,,9.614e-9
259,C1,880e-3,49,150,,9.643e-9
260,C0,880e-3,50,-40,,eval err
260,C1,880e-3,50,150,,eval err
261,C0,880e-3,51,-40,,9.98e-9
261,C1,880e-3,51,150,,9.967e-9
262,C0,880e-3,52,-40,,eval err
262,C1,880e-3,52,150,,eval err
263,C0,880e-3,53,-40,,9.849e-9
263,C1,880e-3,53,150,,9.774e-9
264,C0,880e-3,54,-40,,9.218e-9
264,C1,880e-3,54,150,,9.219e-9
265,C0,880e-3,55,-40,,10.09e-9
265,C1,880e-3,55,150,,10.1e-9
266,C0,880e-3,56,-40,,9.738e-9
266,C1,880e-3,56,150,,9.736e-9
267,C0,880e-3,57,-40,,10.3e-9
267,C1,880e-3,57,150,,10.35e-9
268,C0,880e-3,58,-40,,10.05e-9
268,C1,880e-3,58,150,,10.02e-9
269,C0,880e-3,59,-40,,eval err
269,C1,880e-3,59,150,,eval err
270,C0,880e-3,60,-40,,9.505e-9
270,C1,880e-3,60,150,,9.507e-9
271,C0,880e-3,61,-40,,10.15e-9
271,C1,880e-3,61,150,,10.17e-9
272,C0,880e-3,62,-40,,9.898e-9
272,C1,880e-3,62,150,,9.891e-9
273,C0,880e-3,63,-40,,eval err
273,C1,880e-3,63,150,,eval err
274,C0,880e-3,64,-40,,9.726e-9
274,C1,880e-3,64,150,,9.776e-9
275,C0,880e-3,65,-40,,eval err
275,C1,880e-3,65,150,,10.36e-9
276,C0,880e-3,66,-40,,10.05e-9
276,C1,880e-3,66,150,,10.06e-9
277,C0,880e-3,67,-40,,eval err
277,C1,880e-3,67,150,,eval err
278,C0,880e-3,68,-40,,9.536e-9
278,C1,880e-3,68,150,,9.571e-9
279,C0,880e-3,69,-40,,10.19e-9
279,C1,880e-3,69,150,,10.18e-9
280,C0,880e-3,70,-40,,9.92e-9
280,C1,880e-3,70,150,,9.873e-9
281,C0,885e-3,1,-40,,eval err
281,C1,885e-3,1,150,,eval err
282,C0,885e-3,2,-40,,9.467e-9
282,C1,885e-3,2,150,,9.457e-9
283,C0,885e-3,3,-40,,10.26e-9
283,C1,885e-3,3,150,,10.29e-9
284,C0,885e-3,4,-40,,10.15e-9
284,C1,885e-3,4,150,,10.12e-9
285,C0,885e-3,5,-40,,eval err
285,C1,885e-3,5,150,,eval err
286,C0,885e-3,6,-40,,9.802e-9
