Point,Corner,Iin,mc_iteration,temperature,Pass/Fail,/Inv_Out,DELAY
110,C0,62.86e-9,50,-40,,,1.254e-9
110,C1,62.86e-9,50,150,,,1.131e-9
111,C0,62.86e-9,51,-40,,,1.252e-9
111,C1,62.86e-9,51,150,,,1.2e-9
112,C0,62.86e-9,52,-40,,,1.24e-9
112,C1,62.86e-9,52,150,,,1.092e-9
113,C0,62.86e-9,53,-40,,,1.37e-9
113,C1,62.86e-9,53,150,,,1.215e-9
114,C0,62.86e-9,54,-40,,,1.203e-9
114,C1,62.86e-9,54,150,,,1.113e-9
115,C0,62.86e-9,55,-40,,,1.186e-9
115,C1,62.86e-9,55,150,,,981.7e-12
116,C0,62.86e-9,56,-40,,,1.189e-9
116,C1,62.86e-9,56,150,,,1.018e-9
117,C0,62.86e-9,57,-40,,,1.172e-9
117,C1,62.86e-9,57,150,,,967.6e-12
118,C0,62.86e-9,58,-40,,,1.265e-9
118,C1,62.86e-9,58,150,,,1.192e-9
119,C0,62.86e-9,59,-40,,,1.261e-9
119,C1,62.86e-9,59,150,,,1.127e-9
120,C0,62.86e-9,60,-40,,,1.172e-9
120,C1,62.86e-9,60,150,,,999e-12
121,C0,85.71e-9,1,-40,,,1.357e-9
121,C1,85.71e-9,1,150,,,1.25e-9
122,C0,85.71e-9,2,-40,,,1.262e-9
122,C1,85.71e-9,2,150,,,1.147e-9
123,C0,85.71e-9,3,-40,,,1.232e-9
123,C1,85.71e-9,3,150,,,1.139e-9
124,C0,85.71e-9,4,-40,,,1.334e-9
124,C1,85.71e-9,4,150,,,1.224e-9
125,C0,85.71e-9,5,-40,,,1.295e-9
125,C1,85.71e-9,5,150,,,1.203e-9
126,C0,85.71e-9,6,-40,,,1.261e-9
126,C1,85.71e-9,6,150,,,1.065e-9
127,C0,85.71e-9,7,-40,,,1.427e-9
127,C1,85.71e-9,7,150,,,1.384e-9
128,C0,85.71e-9,8,-40,,,1.42e-9
128,C1,85.71e-9,8,150,,,1.324e-9
129,C0,85.71e-9,9,-40,,,1.261e-9
129,C1,85.71e-9,9,150,,,1.169e-9
130,C0,85.71e-9,10,-40,,,1.31e-9
130,C1,85.71e-9,10,150,,,1.234e-9
131,C0,85.71e-9,11,-40,,,1.204e-9
131,C1,85.71e-9,11,150,,,1.101e-9
132,C0,85.71e-9,12,-40,,,1.327e-9
132,C1,85.71e-9,12,150,,,1.212e-9
133,C0,85.71e-9,13,-40,,,1.329e-9
133,C1,85.71e-9,13,150,,,1.2e-9
134,C0,85.71e-9,14,-40,,,1.345e-9
134,C1,85.71e-9,14,150,,,1.257e-9
135,C0,85.71e-9,15,-40,,,1.196e-9
135,C1,85.71e-9,15,150,,,1.067e-9
136,C0,85.71e-9,16,-40,,,1.324e-9
136,C1,85.71e-9,16,150,,,1.193e-9
137,C0,85.71e-9,17,-40,,,1.299e-9
137,C1,85.71e-9,17,150,,,1.215e-9
138,C0,85.71e-9,18,-40,,,1.254e-9
138,C1,85.71e-9,18,150,,,1.118e-9
139,C0,85.71e-9,19,-40,,,1.363e-9
139,C1,85.71e-9,19,150,,,1.271e-9
140,C0,85.71e-9,20,-40,,,1.24e-9
140,C1,85.71e-9,20,150,,,1.197e-9
141,C0,85.71e-9,21,-40,,,1.346e-9
141,C1,85.71e-9,21,150,,,1.252e-9
142,C0,85.71e-9,22,-40,,,1.138e-9
142,C1,85.71e-9,22,150,,,842.6e-12
143,C0,85.71e-9,23,-40,,,1.332e-9
143,C1,85.71e-9,23,150,,,1.245e-9
144,C0,85.71e-9,24,-40,,,1.264e-9
144,C1,85.71e-9,24,150,,,1.165e-9
